zone,variable,n,tau,z_score,p_value,sen_slope,sen_slope_yr,intercept,ns_ratio,significant,trend
north,gwsa,250,-0.7099116465863454,-5.95869107041995,2.5426625249735935e-09,-0.04376790342738738,-0.5252148411286486,0.7997154573428142,7.87277868851733,True,decreasing
north,precip_mm,250,-0.05812048192771084,-1.271053118335164,0.20370975213008746,-0.0007869276767676768,-0.009443132121212122,1.152691395757576,1.1585405059613954,False,no trend
north,t2m_c,250,-0.009606425702811245,-0.17190443443788733,0.8635126603089485,-0.0009241188118811956,-0.011089425742574346,17.31221829207921,1.720680114247407,False,no trend
north,ndvi,250,-0.03267469879518072,-0.49489220523377486,0.6206762131783405,-3.241361450562514e-05,-0.0003889633740675017,0.27112453420113836,2.413281368808522,False,no trend
central,gwsa,250,-0.8226506024096386,-6.80264782457596,1.0271339334622098e-11,-0.04189175324286582,-0.5027010389143899,3.458400280384738,8.111504852569874,True,decreasing
central,precip_mm,250,-0.08,-1.8834139474209737,0.05964429165475793,-0.00016742756962025317,-0.002009130835443038,0.14861216241772154,1.0,False,no trend
central,t2m_c,250,-0.024771084337349397,-0.4318682063775758,0.6658372035546707,-0.0030574659685863865,-0.03668959162303664,21.333274013089003,1.8202068968510363,False,no trend
central,ndvi,250,-0.12302008032128514,-1.1233194692162334,0.2613018379894485,-8.794126503566297e-06,-0.00010552951804279556,0.1043115248429827,6.649347915814676,False,no trend
south,gwsa,250,-0.6935261044176707,-4.572021106861604,4.830422676516122e-06,-0.02606259425489413,-0.3127511310587296,1.507934660817789,12.762313947596711,True,decreasing
south,precip_mm,250,-0.11971084337349397,-2.70625575813581,0.006804661686004465,-0.00010324298412698413,-0.0012389158095238095,0.06220483802380952,1.084817418501306,True,decreasing
south,t2m_c,250,-0.02984738955823293,-0.5099745425845251,0.6100692969625976,-0.0035962378378378325,-0.04315485405405399,22.86979911081081,1.896010462260303,False,no trend
south,ndvi,250,-0.2521124497991968,-2.5154134316253165,0.011889287138695082,-1.710796040482485e-05,-0.00020529552485789817,0.11423232293015674,5.570826432886335,True,decreasing
